"id","pillar","question_id","badge","priority","theme","title","trigger","score_condition","condition_summary","condition_json","insight"
"pessoas-05","pessoas","pess_q4","forca-existente","3","pessoas-cultura","Equipe altamente receptiva à IA","pess_q4 = 5 (""Altamente receptivos"")","2/2","pess_q4 equals 5","[{""questionId"":""pess_q4"",""op"":""equals"",""values"":[5]}]","Alta receptividade reduz o risco de adoção lenta e aumenta a chance de aprendizado rápido. A organização pode ser um pouco mais ambiciosa no desenho dos pilotos, desde que mantenha métricas claras, comunicação transparente e suporte para as equipes afetadas."
"pessoas-06","pessoas","pess_q5","oportunidade","2","pessoas-avaliacao","Sem critério para avaliar onde usar IA","pess_q5 = 1 (sem conhecimento suficiente para avaliar se IA é a ferramenta adequada)","0/4","pess_q5 equals 1","[{""questionId"":""pess_q5"",""op"":""equals"",""values"":[1]}]","Sem critérios claros para decidir quando IA é adequada, a organização pode priorizar casos de uso chamativos, mas pouco relevantes, ou ignorar oportunidades com alto impacto. Vale criar uma matriz simples de avaliação, combinando valor esperado, viabilidade de dados, risco, esforço e dependência operacional."
"pessoas-07","pessoas","pess_q6","oportunidade","2","pessoas-capacitacao","Falta capacitação formal em IA","pess_q6 = 1 (sem programas formais de treinamento em IA)","0/2.5","pess_q6 equals 1","[{""questionId"":""pess_q6"",""op"":""equals"",""values"":[1]}]","Sem capacitação formal, a adoção pode ficar atrás da implementação: ferramentas são disponibilizadas, mas o uso real permanece baixo. Iniciativas de IA devem incluir treinamento, comunicação, transferência de conhecimento e responsáveis internos, não apenas entregáveis técnicos."
"governanca-01","governanca","gov_q1","risco-critico","1","governanca-documentacao","Processos críticos não documentados","gov_q1 = 1 (processos críticos ""Não documentados"")","0/5","gov_q1 equals 1","[{""questionId"":""gov_q1"",""op"":""equals"",""values"":[1]}]","É difícil automatizar de forma confiável um processo que não está documentado. A falta de clareza sobre etapas, exceções e responsáveis aumenta escopo, retrabalho e risco operacional. Antes de automatizar, vale mapear os processos críticos e identificar onde há variação real versus apenas falta de padronização."
"governanca-02","governanca","gov_q1","forca-existente","3","governanca-documentacao","Processos prontos para automação","gov_q1 = 4 (""Totalmente documentados"")","5/5","gov_q1 equals 4","[{""questionId"":""gov_q1"",""op"":""equals"",""values"":[4]}]","Processos bem documentados reduzem bastante o risco de automação, porque etapas, entradas, saídas e exceções já estão explícitas. A empresa pode avaliar automações com mais precisão e estimar impacto com menos incerteza do que organizações que ainda precisam descobrir como o trabalho acontece."
"governanca-03","governanca","gov_q2","risco-critico","1","governanca-seguranca","Sem diretrizes de segurança para IA","gov_q2 = 1 (sem diretrizes, controles ou responsáveis de segurança de IA)","0/6","gov_q2 equals 1","[{""questionId"":""gov_q2"",""op"":""equals"",""values"":[1]}]","A ausência de diretrizes, controles e responsáveis para riscos de IA cria exposição relevante, especialmente quando há dados sensíveis, decisões automatizadas ou ferramentas generativas. Governança de segurança e privacidade deve ser definida antes de qualquer uso em produção, para evitar que o controle venha apenas depois de um incidente."
"governanca-04","governanca","gov_q2","oportunidade","2","governanca-seguranca","Segurança de TI genérica, não específica de IA","gov_q2 = 2 (riscos tratados por TI genérica, sem abordagem específica de IA)","3/6","gov_q2 equals 2","[{""questionId"":""gov_q2"",""op"":""equals"",""values"":[2]}]","Processos gerais de TI e segurança ajudam, mas podem não cobrir riscos específicos de IA, como exposição de dados em prompts, uso indevido de modelos, decisões sem revisão humana ou falta de rastreabilidade. Antes de escalar, vale adaptar controles existentes para o contexto de IA."
"governanca-05","governanca","gov_q2","forca-existente","3","governanca-seguranca","Governança de IA madura e específica","gov_q2 = 3 (responsabilidades e controles claramente definidos e adaptados a riscos de IA)","6/6","gov_q2 equals 3","[{""questionId"":""gov_q2"",""op"":""equals"",""values"":[3]}]","Governança específica para IA é uma vantagem importante, especialmente em setores regulados ou com dados sensíveis. Com responsabilidades e controles claros, a empresa pode avaliar casos de uso mais complexos com menos atrito, mantendo segurança, privacidade e supervisão como parte do desenho desde o início."
"tecnologia-01","tecnologia","tec_q1b","oportunidade","2","tecnologia-maturidade-inicial","Ponto de partida limpo, sem legado","tec_q1 = 1 (ainda não existem projetos) AND tec_q1b = 1 (""Não"", começaria do zero)","0","tec_q1 equals 1 AND tec_q1b equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[1]},{""questionId"":""tec_q1b"",""op"":""equals"",""values"":[1]}]","Ainda não ter projetos de IA pode ser uma vantagem se a empresa usar esse momento para desenhar bem a base. Sem legado técnico para contornar, o melhor caminho tende a ser um piloto único, bem delimitado e com duração curta, em vez de um programa amplo antes de validar dados, integrações e governança."
"tecnologia-02","tecnologia","tec_q1b","forca-existente","3","tecnologia-maturidade-inicial","Base técnica pronta, sem projetos ainda","tec_q1 = 1 (ainda não existem projetos) AND tec_q1b = 3 (""Sim"", conseguiria conectar dados/sistemas)","3.5","tec_q1 equals 1 AND tec_q1b equals 3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[1]},{""questionId"":""tec_q1b"",""op"":""equals"",""values"":[3]}]","A empresa ainda não iniciou projetos de IA, mas já parece ter condições técnicas para conectar dados e sistemas. Isso sugere que a barreira principal pode ser prioridade, caso de uso ou patrocínio, não infraestrutura. Um piloto bem escolhido tende a começar mais rápido do que em organizações que ainda precisam preparar a base técnica."
"tecnologia-03","tecnologia","tec_q1c","risco-critico","2","tecnologia-execucao","Projetos de IA parados","tec_q1 = 2 (1 a 4 projetos) AND tec_q1c = 1 (""Parados"")","0/2","tec_q1 equals 2 AND tec_q1c equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[2]},{""questionId"":""tec_q1c"",""op"":""equals"",""values"":[1]}]","Projetos de IA parados nem sempre indicam que a tecnologia falhou. Muitas vezes o problema está em dono indefinido, escopo amplo demais, dependências de dados ou falta de critério de sucesso. Antes de recomeçar do zero, vale diagnosticar o que travou e decidir se o projeto deve ser retomado, simplificado ou encerrado."
"tecnologia-04","tecnologia","tec_q1d","proximo-passo","2","tecnologia-arquitetura","IA tradicional e generativa em paralelo","tec_q1 = 2 (1 a 4 projetos) AND tec_q1d = 4 (""Misto"", IA tradicional e generativa)","2/2","tec_q1 equals 2 AND tec_q1d equals 4","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[2]},{""questionId"":""tec_q1d"",""op"":""equals"",""values"":[4]}]","Rodar IA tradicional e generativa em paralelo pode ser saudável, mas aumenta a complexidade de integração, manutenção e governança. A empresa deve padronizar práticas de versionamento, monitoramento, documentação e responsabilidade operacional para evitar que cada novo projeto crie um modelo próprio de trabalho."
"tecnologia-05","tecnologia","tec_q1e","risco-critico","2","tecnologia-integracao","IA isolada dos sistemas centrais","tec_q1 = 2 (1 a 4 projetos) AND tec_q1e = 1 (sem integração a sistemas internos)","0/2","tec_q1 equals 2 AND tec_q1e equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[2]},{""questionId"":""tec_q1e"",""op"":""equals"",""values"":[1]}]","Projetos de IA desconectados dos sistemas centrais tendem a ficar restritos a poucos usuários e gerar pouco impacto operacional. A integração com ferramentas de trabalho, dados e fluxos de decisão é o que transforma uma prova de conceito em uma capacidade realmente usada pela empresa."
"tecnologia-06","tecnologia","tec_q1g","forca-existente","3","tecnologia-arquitetura","Arquitetura pensada para reuso","tec_q1 = 2 (1 a 4 projetos) AND tec_q1g = 3 (soluções reutilizáveis e escaláveis)","2/2","tec_q1 equals 2 AND tec_q1g equals 3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[2]},{""questionId"":""tec_q1g"",""op"":""equals"",""values"":[3]}]","Construir soluções reutilizáveis desde o início reduz retrabalho e cria uma base para escalar além de projetos pontuais. A próxima evolução é formalizar padrões técnicos e operacionais, para que novos casos de uso aproveitem componentes, integrações e aprendizados já existentes."
"tecnologia-07","tecnologia","tec_q2a","risco-critico","2","tecnologia-manutencao","Portfólio de IA sem manutenção","tec_q1 = 3 (5 ou mais projetos) AND tec_q2a = 1 (não são atualizados com frequência)","0/2","tec_q1 equals 3 AND tec_q2a equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[3]},{""questionId"":""tec_q2a"",""op"":""equals"",""values"":[1]}]","Ter vários projetos sem cadência de atualização cria um risco silencioso: modelos podem perder precisão com o tempo, integrações podem quebrar e métricas podem piorar sem alerta claro. Antes de adicionar novas iniciativas, vale revisar saúde, responsáveis, monitoramento e frequência de manutenção do portfólio existente."
"tecnologia-08","tecnologia","tec_q2b","forca-existente","3","tecnologia-integracao","Ecossistema de IA já integrado","tec_q1 = 3 (5 ou mais projetos) AND tec_q2b = 3 (""Ecossistema integrado"")","2/2","tec_q1 equals 3 AND tec_q2b equals 3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[3]},{""questionId"":""tec_q2b"",""op"":""equals"",""values"":[3]}]","Um ecossistema de IA integrado indica que a organização já passou da fase de ferramentas isoladas. O próximo desafio é sustentar escala: governança de plataforma, padrões de integração, monitoramento, gestão de custos e critérios claros para adicionar novos casos de uso sem aumentar complexidade desnecessária."
"tecnologia-09","tecnologia","tec_q2e","risco-critico","1","tecnologia-resultados","Volume de projetos sem resultado comprovado","tec_q1 = 3 (5 ou mais projetos) AND tec_q2e = 1 (nenhum resultado mensurável entregue)","0/1","tec_q1 equals 3 AND tec_q2e equals 1","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[3]},{""questionId"":""tec_q2e"",""op"":""equals"",""values"":[1]}]","Ter cinco ou mais projetos sem resultado mensurável é um sinal de alerta. Isso pode indicar que os critérios de sucesso não foram definidos antes da execução, ou que os resultados não estão sendo medidos de forma consistente. Antes de construir mais, a empresa deve revisar o impacto do que já existe e padronizar métricas de valor."
"tecnologia-10","tecnologia","tec_q2f","forca-existente","3","tecnologia-arquitetura","Plataforma de IA pronta para escalar","tec_q1 = 3 (5 ou mais projetos) AND tec_q2f = 3 (soluções reutilizáveis e escaláveis)","2/2","tec_q1 equals 3 AND tec_q2f equals 3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[3]},{""questionId"":""tec_q2f"",""op"":""equals"",""values"":[3]}]","Com cinco ou mais projetos e arquitetura reutilizável, a empresa já se aproxima de uma capacidade de plataforma, não apenas de experimentação. A prioridade passa a ser sustentar escala: governança, monitoramento, documentação, gestão de custos e mecanismos para reaproveitar componentes entre áreas."
"tecnologia-11","tecnologia","tec_q1","proximo-passo","4","tecnologia-meta","Tecnologia merece leitura cuidadosa","tec_q1 respondido (qualquer valor)","0 versus 4 pontos-base","tec_q1 equals 1|2|3","[{""questionId"":""tec_q1"",""op"":""equals"",""values"":[1,2,3]}]","A dimensão de Tecnologia costuma concentrar diferenças grandes entre empresas: algumas ainda estão preparando a base, enquanto outras já operam vários projetos. Por isso, a leitura deste pilar deve considerar não apenas quantidade de iniciativas, mas também integração, manutenção, mensuração de valor e capacidade de escalar sem retrabalho."
